"moment","V^2","V^4","V^6","V^8","V^10","V^12","V^14","V^16","V^18","V^20","V^22","V^24","V^26","V^28","V^30"
1,"1/2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"9/2","1/2",0,0,0,0,0,0,0,0,0,0,0,0,0
3,100,"29/2","1/2",0,0,0,0,0,0,0,0,0,0,0,0
4,"6125/2","1161/2","57/2","1/2",0,0,0,0,0,0,0,0,0,0,0
5,111132,"215825/8",1757,"93/2","1/2",0,0,0,0,0,0,0,0,0,0
6,4482324,"5458309/4","230713/2","8107/2","137/2","1/2",0,0,0,0,0,0,0,0,0
7,194347296,"145752173/2","62877855/8","2892863/8",7990,"189/2","1/2",0,0,0,0,0,0,0,0
8,"17764557525/2",4042665651,"8755756895/16","262091997/8","1917393/2","28365/2","249/2","1/2",0,0,0,0,0,0,0
9,422547911500,"1845673147509/8",38618322907,"11889344693/4",117121645,"18767813/8",23343,"317/2","1/2",0,0,0,0,0,0
10,20745412263004,13463874209445,"88036757138817/32","4288434281741/16","225495721035/16","1609230189/4","11465753/2","72559/2","393/2","1/2",0,0,0,0,0
11,1044783226757088,"6403160782714685/8","1580079972997589/8","3068701336929597/128","6581234803211/4","1050106688367/16","11571505779/8","120953395/8",53896,"477/2","1/2",0,0,0,0
12,53733781787243012,"96695232388471561/2","228549613120920295/16","136290114176011435/64","5956556701082245/32","79674131127241/8","1278505357157/4","45387833705/8","90581685/2","154385/2","569/2","1/2",0,0,0
13,2812646748080540000,"5925358600714913139/2","4164920971542210387/4","6027178043631886031/32","2625506775011751195/128","90622552374249435/64","247224216766863/4","26226635859273/16",24063839883,"1229658905/8",107265,"669/2","1/2",0,0
14,149447483917690500000,"368000880553993824739/2","1225359319797256959217/16","532656693369863635101/32","567574874940206020579/256","24492411762914594755/128","172534962724620831/16","6237629845748103/16","69202255884909/8","427576017321/4","1135888265/2","290611/2","777/2","1/2",0
15,8043861374385773472000,11576491648591212233855,"11387288609228345457701/2","47224583608788540688919/32","15156770868272517977351/64","6382069537524748774501/256","223561677478726365905/128","10380706865039079687/128","4894528421120085/2","367050692813649/8","3870646178063/8","17562755335/8",192602,"893/2","1/2"
