"moment","V^2","V^4","V^6","V^8","V^10","V^12","V^14","V^16","V^18","V^20"
1,"3/2",0,0,0,0,0,0,0,0,0
2,"39/2",6,0,0,0,0,0,0,0,0
3,739,"713/2","141/4",0,0,0,0,0,0,0
4,44660,"122127/4","42881/8","507/2",0,0,0,0,0,0
5,3586968,"25971529/8","3405551/4","316569/4","8151/4",0,0,0,0,0
6,349322694,402291410,145071136,"169755373/8","9526649/8",17376,0,0,0,0
7,39056338662,"223774289585/4","424010014493/16","44040878899/8","2041145381/4","149011277/8","610161/4",0,0,0
8,4841462977494,"34047267248207/4","20676212128271/4","5759696365643/4","1554078154399/8","197365366091/16","2474822205/8","2714997/2",0,0
9,650086877663080,"2784548244592537/2","4289954749058133/4","1550009912169233/4","4535595103469105/64","857646659047569/128","4941270995169/16",5556381703,"48624171/4",0
10,93036137194173888,"967332590990878527/4","3779431518659877699/16","6948577324816128957/64","3298841877920825811/128","853656529461844851/256","59868164206228145/256","32655675950149/4","868596997469/8",109158621
